manipulation_activity_id,manipulation_activity_admin_id,manipulation_activity_admin_name,manipulation_activity_customer_id,manipulation_activity_customer_name,manipulation_activity_type,manipulation_activity_action,manipulation_activity_ip,manipulation_activity_located,manipulation_activity_device,created_at
2179,1,Quản Trị Viên,NULL,NULL,0,Xem Danh Sách Phòng,127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36",2022-11-06 17:20:08
2180,1,Quản Trị Viên,NULL,NULL,0,Xem Danh Sách Phòng,127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36",2022-11-06 17:20:08
2181,1,Quản Trị Viên,NULL,NULL,0,Xem Danh Sách Phòng,127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36",2022-11-06 17:20:36
2182,1,Quản Trị Viên,NULL,NULL,0,Xem Danh Sách Phòng,127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36",2022-11-06 17:20:36
2183,1,Quản Trị Viên,NULL,NULL,0,Xem Danh Sách Phòng,127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36",2022-11-06 17:20:48
2184,1,Quản Trị Viên,NULL,NULL,0,Xem Danh Sách Phòng,127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36",2022-11-06 17:20:48
2185,1,Quản Trị Viên,NULL,NULL,0,Xem Danh Sách Phòng,127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36",2022-11-06 17:23:06
2186,1,Quản Trị Viên,NULL,NULL,0,Xem Danh Sách Phòng,127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36",2022-11-06 17:23:06
2187,1,Quản Trị Viên,NULL,NULL,0,Xem Danh Sách Phòng,127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36",2022-11-06 17:23:12
2188,1,Quản Trị Viên,NULL,NULL,0,Xem Danh Sách Phòng,127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36",2022-11-06 17:23:12
2189,1,Quản Trị Viên,NULL,NULL,0,Xem Danh Sách Phòng,127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36",2022-11-06 17:23:29
2190,1,Quản Trị Viên,NULL,NULL,0,Xem Danh Sách Phòng,127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36",2022-11-06 17:23:29
2191,1,Quản Trị Viên,NULL,NULL,0,Xem Danh Sách Phòng,127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36",2022-11-06 17:26:53
2192,1,Quản Trị Viên,NULL,NULL,0,Xem Danh Sách Phòng,127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36",2022-11-06 17:26:53
2193,1,Quản Trị Viên,NULL,NULL,0,Xem Danh Sách Phòng,127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36",2022-11-06 17:27:32
2194,1,Quản Trị Viên,NULL,NULL,0,Xem Danh Sách Phòng,127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36",2022-11-06 17:27:32
2195,1,Quản Trị Viên,NULL,NULL,0,Xem Danh Sách Phòng,127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36",2022-11-06 17:27:53
2196,1,Quản Trị Viên,NULL,NULL,0,Xem Danh Sách Phòng,127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36",2022-11-06 17:27:54
2197,1,Quản Trị Viên,NULL,NULL,0,Xem Danh Sách Phòng,127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36",2022-11-06 17:28:47
2198,1,Quản Trị Viên,NULL,NULL,0,Xem Danh Sách Phòng,127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36",2022-11-06 17:28:47
2199,1,Quản Trị Viên,NULL,NULL,0,Cập Nhật Phòng ( ID : 2),127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36",2022-11-06 17:31:04
2200,1,Quản Trị Viên,NULL,NULL,0,Xem Danh Sách Phòng,127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36",2022-11-06 17:31:05
2201,1,Quản Trị Viên,NULL,NULL,0,Cập Nhật Phòng ( ID : 2),127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36",2022-11-06 17:32:22
2202,1,Quản Trị Viên,NULL,NULL,0,Xem Danh Sách Phòng,127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36",2022-11-06 17:32:22
2203,1,Quản Trị Viên,NULL,NULL,0,Xem Danh Sách Phòng,127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36",2022-11-06 17:32:22
2204,1,Quản Trị Viên,NULL,NULL,0,Xem Danh Sách Khách Sạn,127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36",2022-11-06 17:33:00
2205,1,Quản Trị Viên,NULL,NULL,0,Xem Danh Sách Khách Sạn,127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36",2022-11-06 17:33:01
2206,1,Quản Trị Viên,NULL,NULL,0,Chuyển Khách Sạn( ID : 2) Vào Thùng Rác,127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36",2022-11-06 17:33:03
2207,1,Quản Trị Viên,NULL,NULL,0,Xem Danh Sách Khách Sạn,127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36",2022-11-06 17:33:03
2208,1,Quản Trị Viên,NULL,NULL,0,Xem Danh Sách Khách Sạn,127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36",2022-11-06 17:33:03
2209,1,Quản Trị Viên,NULL,NULL,0,Chuyển Khách Sạn( ID : 3) Vào Thùng Rác,127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36",2022-11-06 17:33:05
2210,1,Quản Trị Viên,NULL,NULL,0,Xem Danh Sách Khách Sạn,127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36",2022-11-06 17:33:06
2211,1,Quản Trị Viên,NULL,NULL,0,Xem Danh Sách Khách Sạn,127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36",2022-11-06 17:33:06
2212,1,Quản Trị Viên,NULL,NULL,0,Xem Khách Sạn Trong Thùng Rác,127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36",2022-11-06 17:33:07
2213,1,Quản Trị Viên,NULL,NULL,0,Xem Khách Sạn Trong Thùng Rác,127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36",2022-11-06 17:33:07
2214,1,Quản Trị Viên,NULL,NULL,0,Khôi Phục Khách Sạn ( ID : 2),127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36",2022-11-06 17:33:15
2215,1,Quản Trị Viên,NULL,NULL,0,Xem Khách Sạn Trong Thùng Rác,127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36",2022-11-06 17:33:16
2216,1,Quản Trị Viên,NULL,NULL,0,Khôi Phục Khách Sạn ( ID : 3),127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36",2022-11-06 17:33:17
2217,1,Quản Trị Viên,NULL,NULL,0,Xem Khách Sạn Trong Thùng Rác,127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36",2022-11-06 17:33:18
2218,1,Quản Trị Viên,NULL,NULL,0,Xem Danh Sách Khách Sạn,127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36",2022-11-06 17:33:21
2219,1,Quản Trị Viên,NULL,NULL,0,Xem Danh Sách Khách Sạn,127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36",2022-11-06 17:33:22
2220,1,Quản Trị Viên,NULL,NULL,0,Xem Danh Sách Khách Sạn,127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36",2022-11-06 17:33:28
2221,1,Quản Trị Viên,NULL,NULL,0,Xem Danh Sách Khách Sạn,127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36",2022-11-06 17:33:29
2222,1,Quản Trị Viên,NULL,NULL,0,Xem Danh Sách Thư Viện Ảnh,127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36",2022-11-06 17:33:40
2223,1,Quản Trị Viên,NULL,NULL,0,Xem Danh Sách Thư Viện Ảnh,127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36",2022-11-06 17:33:40
2224,1,Quản Trị Viên,NULL,NULL,0,Xem Danh Sách Phòng,127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36",2022-11-06 17:33:43
2225,1,Quản Trị Viên,NULL,NULL,0,Xem Danh Sách Phòng,127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36",2022-11-06 17:33:43
2226,1,Quản Trị Viên,NULL,NULL,0,Xem Danh Sách Phòng,127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36",2022-11-06 17:33:51
2227,1,Quản Trị Viên,NULL,NULL,0,Xem Danh Sách Phòng,127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36",2022-11-06 17:33:51
2228,1,Quản Trị Viên,NULL,NULL,0,Xem Phòng Trong Thùng Rác,127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36",2022-11-06 17:33:52
2229,1,Quản Trị Viên,NULL,NULL,0,Xem Phòng Trong Thùng Rác,127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36",2022-11-06 17:33:52
2230,1,Quản Trị Viên,NULL,NULL,0,Xem Danh Sách Phòng,127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36",2022-11-06 17:33:54
2231,1,Quản Trị Viên,NULL,NULL,0,Xem Danh Sách Phòng,127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36",2022-11-06 17:33:54
2232,1,Quản Trị Viên,NULL,NULL,0,Xem Danh Sách Phòng,127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36",2022-11-06 17:36:50
2233,1,Quản Trị Viên,NULL,NULL,0,Xem Danh Sách Phòng,127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36",2022-11-06 17:36:50
2234,1,Quản Trị Viên,NULL,NULL,0,Thêm Mới Phòng ID : 3,127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36",2022-11-06 17:37:43
2235,1,Quản Trị Viên,NULL,NULL,0,Xem Danh Sách Phòng,127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36",2022-11-06 17:37:44
2236,1,Quản Trị Viên,NULL,NULL,0,Thêm Mới Phòng ID : 4,127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36",2022-11-06 17:38:54
2237,1,Quản Trị Viên,NULL,NULL,0,Xem Danh Sách Phòng,127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36",2022-11-06 17:38:54
2238,1,Quản Trị Viên,NULL,NULL,0,Xem Danh Sách Phòng,127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36",2022-11-06 17:38:55
2239,1,Quản Trị Viên,NULL,NULL,0,Chuyển Phòng( ID : 4) Vào Thùng Rác,127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36",2022-11-06 17:39:00
2240,1,Quản Trị Viên,NULL,NULL,0,Xem Danh Sách Phòng,127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36",2022-11-06 17:39:00
2241,1,Quản Trị Viên,NULL,NULL,0,Thêm Mới Phòng ID : 5,127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36",2022-11-06 17:39:28
2242,1,Quản Trị Viên,NULL,NULL,0,Xem Danh Sách Phòng,127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36",2022-11-06 17:39:28
2243,1,Quản Trị Viên,NULL,NULL,0,Xem Danh Sách Phòng,127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36",2022-11-06 17:39:29
2244,1,Quản Trị Viên,NULL,NULL,0,Xem Danh Sách Phòng,127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36",2022-11-06 17:40:01
2245,1,Quản Trị Viên,NULL,NULL,0,Xem Danh Sách Phòng,127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36",2022-11-06 17:40:01
2246,1,Quản Trị Viên,NULL,NULL,0,Xem Danh Sách Phòng,127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36",2022-11-06 17:40:02
2247,1,Quản Trị Viên,NULL,NULL,0,Xem Danh Sách Phòng,127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36",2022-11-06 17:40:02
2248,1,Quản Trị Viên,NULL,NULL,0,Xem Danh Sách Phòng,127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36",2022-11-06 17:40:08
2249,1,Quản Trị Viên,NULL,NULL,0,Xem Danh Sách Phòng,127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36",2022-11-06 17:40:08
2250,1,Quản Trị Viên,NULL,NULL,0,Xem Phòng Trong Thùng Rác,127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36",2022-11-06 17:40:12
2251,1,Quản Trị Viên,NULL,NULL,0,Xem Phòng Trong Thùng Rác,127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36",2022-11-06 17:40:12
2252,1,Quản Trị Viên,NULL,NULL,0,Xem Danh Sách Phòng,127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36",2022-11-06 17:40:14
2253,1,Quản Trị Viên,NULL,NULL,0,Xem Danh Sách Phòng,127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36",2022-11-06 17:40:14
2254,1,Quản Trị Viên,NULL,NULL,0,Xem Phòng Trong Thùng Rác,127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36",2022-11-06 17:40:16
2255,1,Quản Trị Viên,NULL,NULL,0,Xem Phòng Trong Thùng Rác,127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36",2022-11-06 17:40:16
2256,1,Quản Trị Viên,NULL,NULL,0,Xem Danh Sách Phòng,127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36",2022-11-06 17:40:19
2257,1,Quản Trị Viên,NULL,NULL,0,Xem Danh Sách Phòng,127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36",2022-11-06 17:40:19
2258,1,Quản Trị Viên,NULL,NULL,0,Xem Phòng Trong Thùng Rác,127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36",2022-11-06 17:40:20
2259,1,Quản Trị Viên,NULL,NULL,0,Xem Phòng Trong Thùng Rác,127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36",2022-11-06 17:40:21
2260,1,Quản Trị Viên,NULL,NULL,0,Xem Danh Sách Phòng,127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36",2022-11-06 17:40:26
2261,1,Quản Trị Viên,NULL,NULL,0,Xem Danh Sách Phòng,127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36",2022-11-06 17:40:26
2262,1,Quản Trị Viên,NULL,NULL,0,Xem Danh Sách Khách Sạn,127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36",2022-11-07 16:50:53
2263,1,Quản Trị Viên,NULL,NULL,0,Xem Danh Sách Khách Sạn,127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36",2022-11-07 16:50:54
2264,1,Quản Trị Viên,NULL,NULL,0,Xem Danh Sách Thư Viện Ảnh,127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36",2022-11-07 16:51:02
2265,1,Quản Trị Viên,NULL,NULL,0,Xem Danh Sách Thư Viện Ảnh,127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36",2022-11-07 16:51:02
2266,1,Quản Trị Viên,NULL,NULL,0,Xem Danh Sách Phòng,127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36",2022-11-07 16:51:11
2267,1,Quản Trị Viên,NULL,NULL,0,Xem Danh Sách Phòng,127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36",2022-11-07 16:51:11
2268,1,Quản Trị Viên,NULL,NULL,0,Xem Danh Sách Phòng,127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36",2022-11-07 16:51:29
2269,1,Quản Trị Viên,NULL,NULL,0,Xem Danh Sách Thư Viện Ảnh,127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36",2022-11-07 16:51:29
2270,1,Quản Trị Viên,NULL,NULL,0,Xem Danh Sách Thư Viện Ảnh,127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36",2022-11-07 16:51:29
2271,1,Quản Trị Viên,NULL,NULL,0,Xem Danh Sách Khách Sạn,127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36",2022-11-07 16:51:30
2272,1,Quản Trị Viên,NULL,NULL,0,Vô Hiệu Tài Khoản ( ID : 3),127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36",2022-11-08 06:15:43
2273,1,Quản Trị Viên,NULL,NULL,0,Vô Hiệu Tài Khoản ( ID : 3),127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36",2022-11-08 06:15:43
2274,1,Quản Trị Viên,NULL,NULL,0,Vô Hiệu Tài Khoản ( ID : 3),127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36",2022-11-08 06:15:45
